algorithm,dataset,n_features,n_jobs,n_neighbors,n_samples,n_threads,time_construction_mean,time_construction_std,time_querying_mean,time_querying_std
brute,covertype,20,1,10,10000,8,0.00022594134012858072,1.632582234078577e-06,1.501736005147298,0.029233639071164934
brute,covertype,20,1,10,50000,8,0.0006109873453776041,2.510411657426625e-05,6.856998364130656,0.4426372455525268
brute,covertype,20,1,10,100000,8,0.0012063980102539062,2.867175480442391e-05,14.32284164428711,0.17605181187634591
brute,covertype,20,1,100,10000,8,0.00023698806762695312,5.248819899863678e-06,1.5418684482574463,0.00478662720773398
brute,covertype,20,1,100,50000,8,0.0006440480550130209,2.9151052266210974e-05,7.064890305201213,0.21428479154270164
brute,covertype,20,1,100,100000,8,0.0013457934061686199,0.00012085499206965129,13.58632230758667,1.2102456102126877
brute,covertype,25,1,10,10000,8,0.00025502840677897137,7.5302369339464005e-06,1.5134185949961345,0.01611476028973941
brute,covertype,25,1,10,50000,8,0.0007393360137939453,2.499948884614038e-05,7.070246458053589,0.28586004904163315
brute,covertype,25,1,10,100000,8,0.001619577407836914,4.704403968545537e-05,14.326794942220053,0.0757402403527068
brute,covertype,25,1,100,10000,8,0.00026647249857584637,1.3093982707910338e-05,1.555573542912801,0.02038264372654998
brute,covertype,25,1,100,50000,8,0.0008097489674886068,6.328395424031454e-05,7.234266042709351,0.14650897682818992
brute,covertype,25,1,100,100000,8,0.0018571217854817708,0.00014834034510254155,14.36730988820394,0.09176990082129441
brute,covertype,30,1,10,10000,8,0.000280300776163737,6.425025600245074e-06,1.5226869583129883,0.021644046049421457
brute,covertype,30,1,10,50000,8,0.0009127457936604818,3.7003983582887065e-05,6.5090250968933105,0.6008584477217929
brute,covertype,30,1,10,100000,8,0.002358675003051758,0.00016064577101578844,14.449108839035034,0.08606398576094001
brute,covertype,30,1,100,10000,8,0.00029770533243815106,1.1988027141735233e-05,1.5865310033162434,0.023578161539132378
brute,covertype,30,1,100,50000,8,0.0009865760803222656,6.403392207342547e-05,7.249036073684692,0.14354776894691243
brute,covertype,30,1,100,100000,8,0.0025084813435872397,4.643568657104334e-05,13.440630118052164,1.1697704832030804
brute,creditcard,5,1,10,10000,8,0.00011793772379557292,2.5406467697057373e-06,1.2885314623514812,0.06764209746789727
brute,creditcard,5,1,10,50000,8,0.0002530415852864583,9.197588767483587e-06,7.195521275202434,0.16356032203112167
brute,creditcard,5,1,10,100000,8,0.00034348169962565106,5.458807869299062e-06,14.329578002293905,0.07871190646471246
brute,creditcard,5,1,100,10000,8,0.00012882550557454428,9.289830014675431e-06,1.3491652011871338,0.04676573409489233
brute,creditcard,5,1,100,50000,8,0.000269015630086263,5.455335712982977e-06,7.171901623408,0.05330620718119532
brute,creditcard,5,1,100,100000,8,0.00035198529561360675,8.11168387568819e-06,14.682897567749023,0.09861287959626788
brute,creditcard,6,1,10,10000,8,0.00013033548990885416,8.06013100529232e-06,1.2866019407908122,0.08864347298004069
brute,creditcard,6,1,10,50000,8,0.00027251243591308594,5.611706874818716e-06,7.075763543446858,0.10248620859490395
brute,creditcard,6,1,10,100000,8,0.00039577484130859375,3.132884239264651e-06,14.031403303146362,0.07947849964506211
brute,creditcard,6,1,100,10000,8,0.00013367335001627603,7.714191053625585e-06,1.422396977742513,0.11677580503723389
brute,creditcard,6,1,100,50000,8,0.00028856595357259113,5.017501232676378e-06,7.301930586496989,0.027759071727546315
brute,creditcard,6,1,100,100000,8,0.00041993459065755207,1.82784121936812e-05,14.406140883763632,0.16340874908511788
brute,creditcard,7,1,10,10000,8,0.00013399124145507812,5.965230943296816e-06,1.4362276395161946,0.04332019992577517
brute,creditcard,7,1,10,50000,8,0.00029166539510091144,1.4172486673565076e-05,7.131097475687663,0.023499219153405013
brute,creditcard,7,1,10,100000,8,0.00045116742451985675,1.726336378437839e-05,14.354644378026327,0.22561215840189422
brute,creditcard,7,1,100,10000,8,0.00013939539591471353,9.05223432394286e-06,1.3322020371754963,0.05625797666974953
brute,creditcard,7,1,100,50000,8,0.00030573209126790363,7.944106419626745e-06,7.196206410725911,0.1311821334708249
brute,creditcard,7,1,100,100000,8,0.00047437349955240887,2.101812997496409e-05,14.333686192830404,0.22891990311731972
brute,creditcard,8,1,10,10000,8,0.00013899803161621094,4.383272245132979e-06,1.336867332458496,0.0789002155048647
brute,creditcard,8,1,10,50000,8,0.0003132025400797526,1.2276949257740986e-05,7.257161935170491,0.09106214220063194
brute,creditcard,8,1,10,100000,8,0.0004857381184895833,8.568339012110109e-06,14.574791034062704,0.05487571107560806
brute,creditcard,8,1,100,10000,8,0.0001464684804280599,8.870395908538483e-06,1.3160573641459148,0.055478927618450934
brute,creditcard,8,1,100,50000,8,0.0003426869710286458,1.631305070686005e-05,7.432753403981526,0.09978979879376272
brute,creditcard,8,1,100,100000,8,0.0005018711090087891,2.4141181118031022e-05,14.51292339960734,0.07897261699128146
brute,creditcard,9,1,10,10000,8,0.0001426537831624349,4.414858631239302e-06,1.2674850622812908,0.1468039907164035
brute,creditcard,9,1,10,50000,8,0.0003269513448079427,9.091917448727347e-06,7.243645270665486,0.029268993541239567
brute,creditcard,9,1,10,100000,8,0.0005460580190022787,1.1938929213341981e-05,14.566482226053873,0.08175438864347055
brute,creditcard,9,1,100,10000,8,0.0001540978749593099,8.486123718236424e-06,1.4464608033498128,0.07299500801554998
brute,creditcard,9,1,100,50000,8,0.0003552436828613281,2.6835244096920187e-05,7.310686826705933,0.12358662470775059
brute,creditcard,9,1,100,100000,8,0.0005702177683512369,2.034660422841698e-05,14.668967088063559,0.24097670460961332
brute,creditcard,10,1,10,10000,8,0.00014662742614746094,3.8933590933214475e-07,1.2854595979054768,0.07929051893219626
brute,creditcard,10,1,10,50000,8,0.00036843617757161457,5.173677062594031e-06,7.341035525004069,0.10472595946914585
